大李水餃,106台北市大安區和平東路二段118巷54弄35號
麥當勞-台北新生店,106台北市大安區新生南路三段88-2號
臺北大安運動中心,106台北市大安區辛亥路三段55號
小李子清粥小菜,106台北市大安區復興南路二段142之1號
品鱻100元熱炒,106台北市大安區樂利路68號
the Diner 樂子瑞安店,106台北市大安區瑞安街145號
一品日式拉麵專門店,106台北市大安區和平東路二段118巷36號
香料廚房,106台北市大安區和平東路二段96巷10弄1號
台北地下街(Taipei City Mall),100台北市中正區市民大道一段100號
阜杭豆漿,100台北市中正區忠孝東路一段108號
SUKIYA すき家 古亭店,100台北市中正區羅斯福路二段50號
四面八方,106台北市大安區復興南路二段340巷10號
義食屋,106台北市大安區復興南路二段329號
MITSUI OUTLET PARK 林口,244新北市林口區文化三路一段356號
池先生咖哩屋,106台北市大安區和平東路二段118巷60號
臺北市建國假日花市,106台北市大安區建國南路一段
九份老街,224新北市瑞芳區基山街
微風廣場,105台北市松山區復興南路一段39號
梅花數位影院,106台北市大安區和平東路三段63號
印渡風情,106台北市大安區和平東路二段118巷62號
臺灣大學,10617台北市大安區羅斯福路四段1號
河內美食 （Hanoi Food）,106台北市大安區和平東路二段118巷57號
搗飛豆花 Tofu Pudding,106台北市大安區和平東路二段118巷47號
一鍋燒-小火鍋,106台北市大安區和平東路二段118巷4弄2號
第一學生活動中心,106台北市大安區羅斯福路四段1號
小辣椒魷魚羹,106台北市大安區和平東路二段267之1號
金雞園,100台北市中正區羅斯福路三段316巷8弄3之1號
Kitchen Sato 佐藤小廚房 キッチンサトウ,106台北市大安區泰順街33之5號
龍潭豆花,100台北市中正區汀州路三段239號
The Sandrich House,106台北市大安區復興南路二段366號
倆倆號,106台北市大安區辛亥路二段221號
姊姊的廚房,106台北市大安區復興南路二段128巷3-2號
初牛 台北公館店,10090台北市中正區汀州路三段169號
願有記台大店,106台北市大安區復興南路二段340巷7號
IKEA宜家家居新莊店,242新北市新莊區中正路1號
全聯福利中心 大安門市,10667台北市大安區復興南路二段237號
義麵麵,106台北市大安區復興南路二段340巷5號
珍品味泰式炭烤（師大第一腿）,106台北市大安區和平東路二段118巷67號
七里亭茶食館,106台北市大安区瑞安街136號
家樂福 桂林店,108台北市萬華區桂林路1號
宮原眼科,400台中市中區中山路20號
秋紅谷景觀生態公園,407台中市西屯區朝富路30號
貝菈小屋,106台北市大安區辛亥路二段159號
すき家Sukiya 公館店,106台北市大安區羅斯福路三段309號
樂業麵線,106台北市大安區樂業街136號
大潤發中崙店,104台北市中山區八德路二段306號
國立臺灣大學傅鐘,106台北市大安區羅斯福路四段1號
家樂福新店店,231新北市新店區中興路三段1號
樂食堂,106台北市大安區臥龍街11號
健康滷味,106台北市大安區師大路83巷12號
POST霞飛驛歐法點餐,106台北市大安區新生南路三段60巷8號
泰街頭,10648台北市大安區溫州街74巷6號
台電勵進餐廳,106台北市大安區和平東路一段75巷
糊塗麵,106台北市大安區溫州街22巷11號
漢來海港餐廳-敦化店,106台北市大安區敦化南路一段246號
Stoppage Time 補時,106台北市大安區和平東路二段96巷15弄30號
遠企購物中心,106台北市大安區敦化南路二段203號
沾美西餐廳,106台北市大安區仁愛路四段77號
花蓮東大門國際觀光夜市,970花蓮縣花蓮市中山路50號
曼谷燒,100台北市中正區羅斯福路三段286巷18號
芝鄉涼麵,106台北市大安區和平東路二段311巷26號
國立故宮博物院,111台北市士林區至善路二段221號
寧夏夜市,103台北市大同區寧夏路
大埔平價鐵板燒,106台北市大安區復興南路二段158-2號
東區粉圓 Eastern Ice,106台北市大安區忠孝東路四段216巷38號
景美夜市,116台北市文山區景美街
愛維福遠東SOGO忠孝館專櫃 9F,10691台北市大安區忠孝東路四段45號
麻吉食堂,106台北市大安區和平東路二段118巷54弄18號
烏來老街,233新北市烏來區烏來街18號
茉莉二手書店 台大店,100台北市中正區羅斯福路四段40巷2號
香港鑫華茶餐廳,106台北市大安區金華街126號
麥味登(北市復興店),106台北市大安區復興南路二段377號
卡帛素食烘培‧義式廚房‧港式餐點 總店,106台北市大安區復興南路二段308巷5號
大連風味館,106台北市大安區復興南路二段175之1號
臺北南機場夜市,100台北市中正區中華路二段307巷
古亭河濱公園,100台北市中正區
馬辣頂級麻辣鴛鴦火鍋,100台北市中正區汀州路三段86號
維綸麵食館,100台北市中正區汀州路三段279號
光南大批發 臺北公館店,100台北市中正區羅斯福路四段114-116號
銀座越南美食,100台北市中正區羅斯福路三段286巷4弄6號
蕭家傳統小吃,100台北市中正區羅斯福路四段90巷6號
50嵐 台大店,106台北市大安區羅斯福路三段345號
牛洞食堂,106台北市大安區羅斯福路三段277-1號
濃氣屋 拉麵 成功店,106台北市大安區和平東路二段311巷17號
晴光紅豆餅,100台北市大安區汀洲路三段255號
劉家水煎包,100台北市中正區汀州路三段189號
摩斯漢堡復興南路店,106台北市大安區復興南路二段151巷47號
女巫店,106台北市大安區新生南路三段56巷7號
土司吐司 ToasToasT,100台北市中正區汀州路三段160巷4-3號
好鍋癮涮涮鍋,106台北市大安區辛亥路二段161號
格芮潘義式創意廚房,106台北市大安區和平東路二段118巷5-1號
士林夜市,111台北市士林區基河路101號
I’m Pasta,106台北市大安區和平東路二段118巷50號
大盛豬排專門店,106台北市大安區新生南路三段76巷10之1號
誠品生活松菸店,110台北市信義區菸廠路88號
義饗食堂,106台北市大安區羅斯福路四段83號
得記蛋糕,100台北市中正區羅斯福路四段26號
Grand Hyatt Taipei 台北君悅酒店,11051台北市信義區松壽路2號
羅撒蛋糕統一時代臺北店專櫃,11071台北市信義區忠孝東路五段8號
寶藏巖國際藝術村 Treasure Hill Artist Village,100台北市中正區汀州路三段230巷14弄2號
興隆涼麵,106台北市大安區羅斯福路三段333巷1號
歐克法咖啡 unicofa coffee 辛亥店,106台北市大安區辛亥路二段171巷6弄10號
世界貿易中心展覽一館,110台北市信義區信義路五段5號
潮肉壽喜燒,106台北市大安區東豐街41號
瑪莉珍比薩,106台北市大安區溫州街89號
Mr. 拉麵,100台北市中正區羅斯福路三段316巷9弄2號
八方雲集 (台大店),106台北市大安區羅斯福路三段333巷9號
銀咖喱公館總店,100台北市中正區羅斯福路三段276號
季丼屋 - 日本丼飯,100台北市中正區羅斯福路四段150號
水源市場,100台北市中正區羅斯福路四段92號
全家便利商店 辛亥店,106台北市大安區辛亥路二段171巷3號
豪香熱炒,106台北市大安區羅斯福路三段333巷7號
G Woo,106台北市大安區敦化南路二段81巷63號
御品元冰火湯圓,106台北市大安區通化街39巷50弄31號
奇美博物館,71755台南市仁德區文華路二段66號
picnic野餐咖啡,106台北市大安區溫州街75號
古拉爵義式屋,100台北市大安區羅斯福路三段29號
何媽媽手作蒟蒻,106台北市大安區和平東路二段118巷51號
樂麵屋 永康店,106台北市大安區永康街10巷7號
金色三麥 誠品酒窖店,110台北市信義區No. 11號松高路
Woolloomooloo,110台北市信義區信義路四段379號
莫宰羊-大安台大店,106台北市大安區新生南路三段28號
大水缸養生甜品,106台北市大安區復興南路二段151巷19之1號
易牙居餐廳,100台北市中正區羅斯福路三段286巷16號
紫藤廬,106台北市大安區新生南路三段16巷1號
大福利排骨大王,100台北市中正區羅斯福路三段286巷12號
台北信義威秀影城,110台北市信義區松壽路20號
頂好紫琳蒸餃館 Zi Lin Steamed Dumpling,106台北市大安區忠孝東路四段97號
慶城海南雞飯,105台北市松山區慶城街16巷8號
彌生軒 YAYOI 敦南和平店,106台北市大安區敦化南路二段269.271號1F
世界豆漿大王,234新北市永和區永和路二段284號
So Free 柴燒窯烤,106台北市大安区新生南路三段86巷19號
台灣第一腿(泰式碳烤),106台北市大安區和平東路二段118巷73號
蒙娜家廚,106台北市大安區羅斯福路三段283巷48號
富宏牛肉麵,108台北市萬華區洛陽街67-69號
香葉泰式料理餐廳,106台北市大安區敦化南路二段172巷34號
吉屋食堂-科技大樓店,106台北市大安區復興南路二段297號
四四南村簡單市集,110台北市信義區松勤街50號
赤神日式豬排公館店,100台北市中正區羅斯福路三段286巷4弄14號
蘿絲瑪莉義麵坊,104台北市中山區南京西路12巷13弄9號
找餐。店,106台北市大安區和平東路三段1巷6-3號
江南韓食館,106台北市大安區和平東路二段118巷54弄3號
添好運 (新光三越A8),110台北市信義區松高路12號
Bravo Burger發福廚房台大店,100台北市中正區羅斯福路四段44之1號
光點華山電影館,100台北市中正區八德路一段1號
羅東林業文化園區,265宜蘭縣羅東鎮中正北路118號
台北小巨蛋,105台北市松山區南京東路四段2號
大湖公園(防災公園）,114台北市內湖區成功路五段31號
國賓影城＠台北長春廣場,10491台北市中山區長春路176號
雲香亭,106台北市大安區新生南路三段100號2樓號
感恩小館,10660台北市大安區新生南路三段56巷6號
大潤發內湖二店,114台北市內湖區舊宗路一段188號
韓記老虎麵食館,106台北市大安區金華街203號
胖東西廚房 Osteria by Vincent,106台北市大安區復興南路二段349號
麵工坊義大利麵 大安店,106台北市大安區和平東路二段118巷2弄1號1樓
誠記越南麵食館,106台北市大安區永康街6巷1號
路易莎咖啡,10662台北市大安區和平東路二段118巷56號
13香牛肉麵,106台北市大安區和平東路三段48之6號
萬年商業大樓,108台北市萬華區西寧南路70號
馬場町胖虎的店,108台北市萬華區馬場町紀念公園
紀州庵文學森林,100台北市中正區同安街107號
擎天崗大草原,111台北市士林區菁山路101巷246號
得記麻辣脆皮臭豆腐,100台北市中正區羅斯福路四段52巷16弄4號
陸角Omurice,106台北市大安區和平東路三段228巷9號
佳德鳳梨酥,105台北市松山區南京東路五段88號
北方大陸餅,106台北市大安區辛亥路二段171巷12號
韓天閣,100台北市中正區羅斯福路四段78巷1弄15號
十二巷拉麵,100台北市中正區羅斯福路四段12巷1號
iFG遠雄廣場,221新北市汐止區新台五路一段93-99號
巧房餡餅,106台北市大安區和平東路二段313號
國立臺灣大學社會科學院,106台北市大安區羅斯福路四段1號
福鼎湯包店,116台北市文山區興隆路三段112巷2弄13號
澳客炙燒牛排,106台北市大安區和平東路二段329號
甘丹鐵板燒,100台北市中正區汀州路三段208號
發福廚房 公館店,100台北市中正區羅斯福路四段24巷13號
青田七六,106台北市大安區青田街7巷6號
女九餐廳,106台北市大安區羅斯福路四段1號
愛樂廚房,100台北市中正區羅斯福路三段282號2樓
大聲公 台大牛肉麵店,106台北市大安區新生南路三段54之6號
覺旅咖啡西湖店,No. 24號, 瑞光路583巷內湖區台北市114
南港 北大荒水餃店,115台北市南港區南港路一段201號
蘇阿姨比薩屋,106台北市大安區光復南路300號
雪蕾黑豬肉水餃,106台北市大安區和平東路三段1巷27號
蘇江川小館,106台北市大安区台北市大安區四維路208巷6號
好市多Costco 中和店,235新北市中和區中山路二段347號
大溪老街,335桃園市大溪區和平路
星聚點KTV復興館,105台北市松山區復興北路15號
滿燒肉丼食堂,106台北市大安區基隆路二段166號
美麗華百樂園,10491台北市中山區敬業三路20號
鴉片粉圓,100台北市中正區羅斯福路四段52巷16弄4號
薩莉亞 師範大學店,106台北市大安區和平東路一段129-1號
阿桐阿寶四神湯,103台北市大同區民生西路151號
EMALI伊瑪利義大利麵館,106台北市大安區新生南路三段60巷5號
GoGo Pasta (公館店),100台北市中正區羅斯福路三段316巷14號
櫻花樹蛋糕廚房,106台北市大安區和平東路二段96巷8-2號
Who's Tea 鬍子茶 - 台北復興南店,106台北市大安區復興南路二段342-1號
西藏廚房,106台北市大安區和平東路二段217號
Mr. 雪腐 公館店,100台北市中正區羅斯福路三段244巷21號
春花微笑,106台北市大安區新生南路三段72號
國立臺灣大學圖書館,106台北市大安區羅斯福路四段1號
Starbucks,116台北市大安區羅斯福路三段301號
派克脆皮雞排,100台北市中正區羅斯福路三段316巷4號
LoCo Food 樂口福,10491台北市中山區南京東路三段89巷5-4號
一幻拉麵 台北信義店,110台北市信義區松壽路30號
貳樓餐廳Second Floor Cafe 敦南店,106台北市大安區敦化南路二段63巷14號
台北晶華酒店 Regent Taipei,104台北市中山區中山北路二段39巷3號
星巴克 興和門市,106台北市大安區復興南路二段275號
Fifteen 15那不勒斯披薩屋 和平店,106台北市大安區和平東路二段118巷4之1號
台北南港展覽館1館,115台北市南港區經貿二路1號
太魯閣國家公園,972花蓮縣秀林鄉富世291號
碧潭,231新北市新店區新店路
Mega City 板橋大遠百,231新北市板橋區新站路28號
麥當勞,100台北市中正區羅斯福路四段76-1號
京華城購物中心,105台北市松山區八德路四段138號
勤美誠品綠園道,403台中市西區公益路68號
臺北市立美術館,10461台北市中山區中山北路三段181號
喜鵲咖啡,106台北市大安區羅斯福路三段269巷74號
ICE MONSTER 忠孝旗艦店,106台北市大安區忠孝東路四段297號
紅葉蛋糕,106台北市大安區仁愛路三段26-5號
摩斯漢堡,106台北市大安區和平東路一段278號
Mr.Smile 好吃雞排,106台北市大安區復興南路二段315號
布列德麵包,106台北市大安區和平東路二段183號
泰山包子,106台北市大安區復興南路二段350號
八方雲集 (師院店),106台北市大安區和平東路二段311巷2號
咖哩戰線,106台北市大安區和平東路二段118巷54弄8號
源士林粥品（台大店）,106台北市大安區和平東路二段118巷67-1號號
謝老闆涼麵,No. 8, 和平東路二段96巷大安區台北市106
成口香美食館,106台北市大安區和平東路二段96巷5號
拿坡里披薩 和平店,106台北市大安區和平東路二段66號
ANTICO FORNO 老烤箱義式披薩餐酒,106台北市大安區瑞安街141號
高記,106台北市大安區永康街1號
添好運,100台北市中正區忠孝西路一段36號
一番地壽喜燒 古亭店,100台北市中正區和平西路一段80號
雙月食品社,100台北市中正區青島東路6-2號
剝皮寮歷史街區,108台北市萬華區康定路173巷
臺北市立圖書館,106台北市大安區建國南路二段125號
科技大樓站,106台北市大安區復興南路二段235號
思慕昔本館,106台北市大安區永康街15號
國立臺灣大學鹿鳴廣場,106台北市大安區基隆路四段144巷67號
二二八和平公園,100台北市中正區
青年公園,108台北市萬華區水源路199號
好市多Costco 內湖店,114台北市內湖區舊宗路一段268號
定食8-南門店,100台北市中正區林森南路142號
東門餃子館,106台北市大安區金山南路二段31巷37號
川味老張牛肉麵店總店,106台北市大安區愛國東路105號
泰大爺,號, No. 50和平東路二段118巷大安區台北市106
Ville Cafe,100台北市中正區羅斯福路三段284巷5號
西門紅樓,108台北市萬華區成都路10號
Kitchen66,106台北市大安區溫州街74巷3弄11號
喜川麵館,106台北市大安區辛亥路二段215號
韓江館銅盤烤肉,100台北市中正區羅斯福路三段316巷9弄6號
𩵚魠風味魚羹,106台北市大安區和平東路二段355號
四麵八飯,106台北市大安區樂業街143號
師大附中水煎包,106台北市大安區台北市大安區和平東路二段118巷63號
香濱燒臘,11057台北市信义区和平東路三段393號
富陽自然生態公園,106台北市大安區富陽街
佳興魚丸店 和平店,106台北市大安區和平東路二段271號
會津屋日式食堂 Aizuya Japanese Restaurant,106台北市大安區新生南路三段60巷12號
欣葉 日本料理 信義新天地A11,110台北市信義區松壽路11號
政江號傳統小吃店,106台北市大安區金山南路二段109號
滇味小館,106台北市大安區羅斯福路三段283巷8號
順園小館,100台北市中正區汀州路三段281號
左巴好室．好事,106台北市大安區溫州街74巷1弄2號
液香扁食,970花蓮縣花蓮市信義街42號
綠蓋茶‧館,106台北市大安區新生南路三段98號
發現義大利麵,106台北市大安區新生南路三段86巷6號
THE WALL 公館,116台北市文山區羅斯福路四段200號
山嵐拉麵 公館店,100台北市中正區羅斯福路四段136巷1弄13號
七星潭海岸風景特定區,971花蓮縣新城鄉七星街79巷5號
岡太郎家日式料理,106台北市大安區和平東路二段175巷12號
打咔生猛活海鮮,100台北市中正區羅斯福路一段43號
天下佈武日月潭紅茶,106台北市大安區師大路50號
Flügel Studio,106台北市大安區辛亥路一段34巷3號
師園鹽酥雞,106台北市大安區師大路39巷14號
大鼎豬血湯,106台北市大安區延吉街249號
鷹流東京豚骨拉麵-極匠,100台北市中正區汀州路三段104巷4號
貳樓餐廳 Second Floor Cafe 仁愛店,100台北市中正區仁愛路二段108號
壽司爸,106台北市大安區和平東路三段212巷14號
方圓涮涮屋大安復興店,106台北市大安區復興南路二段271巷2號
台北日新威秀影城,108台北市萬華區武昌街二段87號
井上禾食,106台北市大安區嘉興街399號
愛玉之夢遊仙草,106台北市大安區通化街56號
Gobble大口早午餐（搬家囉）,105台北市松山區延吉街30巷15-1號
SuperVit 營養師的光合廚房,106台北市大安區和平東路二段311巷34弄5號
上島珈琲店,106台北市大安區敦化南路一段199號
元浜日本豚骨拉麵,106台北市大安區復興南路二段193巷5號
金石堂書店 汀州店,100台北市中正區汀州路三段184號
頂好 Wellcome 超市,106台北市大安區四維路198巷35號
國立臺灣大學校史館,106台北市大安區羅斯福路四段1號
牛二哥牛肉麵,號, No. 32復興南路二段340巷大安區台北市106
肉蛋吐司,404台中市北區健行路748號
温州街蘿蔔絲餅達人,106台北市大安區和平東路一段186-1號
柒食貳,106台北市大安區溫州街72號
大盛豬排專門店,100台北市中正區羅斯福路四段52巷16弄15-1號
天天利美食坊,108台北市萬華區漢中街32巷1號
羅東夜市,265宜蘭縣羅東鎮興東路與號民權路口
一之軒 公館店,106台北市大安區羅斯福路三段287號
林東芳牛肉麵,10491台北市中山區八德路二段274號
地熱谷,112台北市北投區溫泉路
GLORIA OUTLETS華泰名品城,320桃園市中壢區春德路189號
N.Y.BAGELS CAFE （N. Y. B. C),106台北市大安區仁愛路四段147號
好丘good cho's,110台北市信義區松勤街54號
台北101觀景台,110台北市信義區信義路五段7號
九如商號仁愛店,106台北市大安區仁愛路四段69號
臺北京站威秀影城,103台北市大同區市民大道一段209號
駁二藝術特區,803高雄市鹽埕區大勇路1號
熱翻天生猛海鮮,10665台北市大安區復興南路二段154號
明曜百貨公司,106台北市大安區忠孝東路四段200號
新光影城,108台北市萬華區西寧南路36號
國立國父紀念館,110台北市信義區仁愛路四段505號
武嶺,546南投縣仁愛鄉
京星港式飲茶 PART2,10688台北市大安區忠孝東路四段166號
穆記牛肉麵,110台北市信義區吳興街239號
越南河粉,106台北市大安區和平東路二段311巷23號
英商德記洋行（台灣開拓史料蠟像館）,708台南市安平區古堡街108號
家樂福 台北東興店,110台北市信義區東興路45號
阿柑姨芋圓,224新北市瑞芳區豎崎路5號
OJO Salon,106台北市大安區安和路二段120號
草悟道,403台中市西區向上北路
臺北市兒童新樂園,11169台北市士林區承德路五段55號
蘭陽博物館,261宜蘭縣頭城鎮青雲路三段750號
上賀麵食館,106台北市大安區羅斯福路三段333巷2-1號
坂本屋,106台北市大安區和平東路二段118巷54弄1號
8鍋臭臭鍋連鎖餐飲,106台北市大安區和平東路二段54號
俄羅斯城堡,106台北市大安區羅斯福路三段333巷14號
忠南飯館,106台北市大安區仁愛路三段88號
大安區美食.和平東路美食.台北烤鴨.北平稻香村麵食館,10644台北市大安區和平東路一段242號
芝加哥比薩,No. 379, Section 2, Fuxing South Road, 大安區台北市106
Ooh Cha Cha 自然食科技大樓 & Hooch,No. 4-1, 和平東路二段118巷大安區台北市106
弁當工場 台大店 『便當外送 台北便當推薦 高級會議便當 台大午餐 美食外送』,106台北市大安區復興南路二段344號
炒飯仙人,106台北市大安區和平東路二段118巷54弄6號
龍門客棧餃子館 瑞安店,106台北市大安區瑞安街85號
吉野家大安店,106台北市大安區復興南路二段4號
台灣一品 拉麵與刀削麵,106台北市大安區永康街10之6號
山西御品刀削麵館,106台北市大安區瑞安街208巷24弄6號
麥當勞-羅斯福店,10643台北市大安區羅斯福路二段45號
Daylight光合箱子 東門店,106台北市大安區潮州街93號
すき家Sukiya 大安店,106台北市大安區復興南路二段25號
爭鮮迴轉壽司-科技店,106台北市大安區復興南路二段191號
石二鍋 台北信義店,110台北市大安區信義路二段72號
登打士街 台北店,100台北市中正區青島東路6-1號
臺北府城 北門(承恩門),100台北市中正區忠孝西路一段
公園號酸梅湯,100台北市中正區衡陽路2號
台北福華大飯店The Howard Plaza Hotel Taipei,106台北市大安區仁愛路三段160號
南門市場,100台北市中正區羅斯福路一段8號
六張犁站,106台北市大安區和平東路三段410號
臺北市中正運動中心,100台北市中正區信義路一段1號
盛園絲瓜小籠湯包,106台北市大安區杭州南路二段25巷1號
永康牛肉麵,106台北市大安區金山南路二段31巷17號
爭鮮迴轉壽司-台大店,No. 88-4新生南路三段大安區台北市106
郭家雞肉飯,600嘉義市東區文化路148號
鍋in百元風味火鍋,100台北市中正區汀州路三段196號
樂華夜市,234新北市永和區永平路
ImPerfect Café,106台北市大安區新生南路三段96-5號
奎壁山摩西分海,885澎湖縣湖西鄉
小川西堂,106台北市大安區羅斯福路三段283巷38號
小米之家 台北行天宮店,10491台北市中山區松江路273號
Saizeriya薩莉亞義式餐廳 公館店,100台北市中正區羅斯福路四段68號
迷客夏milkshop 公館店,10091台北市羅斯福路四段132號號
關西服務區,306新竹縣關西鎮東安里11鄰上三屯14號
博多拉麵 台灣總店,106台北市大安區復興南路一段253巷4號
台北市公有成功市場,106台北市大安區四維路192巷
小慧涼麵店,106台北市大安區臥龍街151巷10號
肥前屋,10491台北市中山區中山北路一段121巷13-2號
3 Idiots Toast & Curry 三個傻瓜蔬食印度餐廳-公館店,106台北市大安區羅斯福路三段283巷28號
越南清化河粉,106台北市大安區溫州街74巷8號
集客人間茶館-台大店,106台北市大安區羅斯福路三段333巷18號
尚家香雲南美味麵食館,106台北市大安區新生南路三段60巷2之1號
喬品福州乾拌麵（基隆店）,106台北市大安區基隆路二段251號
